NOMBRE	PRECIO
	
AIRE PUR ANTIHUMEDAD MAX APARATO X 250 GR	204
ALGODON ESTRELLA X 300 GR	104
ALGODON ESTRELLA X 140 GR	55
AROMATIZADOR PROGRAMABLE DIGITAL 	396
AROMATIZADOR REPUESTO AEROSOL URBAN FRESH	69,5
AROMATIZANTE URBAN FRESH VARILLAS	77
AROMATIZANTE TEXTIL  X 200 ML	67
CEPILLO DE DIENTES GOODMAX	18
CEPILLO DE DIENTES COLGATE 3 X 2	89
CEPILLO DE DIENTES COLGATE 2 X 1	46
CEPILLO DE DIENTES PRO MULTI ACCION	99
CREMA PARA MANOS X 150 GR	53
CREMA CORPORAL HIDRATANTE X 250 ML	153
CURITAS TELA CAJA X 8 UN	20
CUTEX X 100 Y X 120	54
COLGATE CREMA TRIPLE ACCION  X 90 	53
COLGATE CREMA TRIPLE ACCION  X 180	116
COLGATE CREMA HERBAL WHITE X 70	34
COLGATE CREMA HERBAL WHITE X 140 	78
ORAL B CREMA DENTAL MINIE	32
ORAL B CREMA DENTAL MICKEY	32
DESOD. AXE AEROSOL	61
DESO. AXE AEROSOL GOLD ANTITR 	92
DESOD. AXE ROLLON SIGNATURE	57
DESOD. DOVE AEROSOL 	106
DESOD. DOVE ROLLON MEN 	93
DESOD. DOVE ROLLON FEM PERA	91
DESOD. DOVE ROLLON ORIG	79
DESOD. KEVIN BLACK MEN	108
DESOD. KEVIN SPIRIT MEN	108
DESOD KEVIN DEO  MEN	97
DESOS. REXONA AEROSOL FEM 	64
DESOD REXOMA AEROSOL MEN 90 GR 	99
DESOD. REXONA ROLLON 	72
DESOD. REXONA ROLLON MEN 	75
DISCOS DESMAQUILLADORES  ESTRELLA X 80 	52
ENCENDEDOR  	15
ENJUAGUE BUCAL PLAX  X 500 LUMINOUS	122
ENJUAGUE BUCAL PLAX  X 500 WHITEN	72
ENJUAGUE BUCAL PLAX X 500 HERBAL	117
ENJUAGUE BUCAL PLAX X 250 MINIONS	105
ENJUAGUE BUCAL PLAX X 250 KIDS	105
ENJUAGUE BUCAL PLAX X 250 MENTA	86
ENJUAGUE BUCAL PLAX X 250 CLASICO	86
ESPONJA DE BA�O EXFOLIANTE 	30
ESPONJA DE BA�O	9
ESPONJA DE BA�O VEGETAL MANOPLA	32
ESPONJA DE BA�O HUESO SOFT BOOB 	25
ESPUMA DE AFEITAR NIVEA EXTRA HIDRATANTE	96
ESPUMA DE AFEITAR NIVEA SENSITIVE	96
ESPUMA DE AFEITAR GILLETE FOAMY 311 GR	151
ESPUMA DE AFEITAR GILLETE MENTHOL 311 GR	151
ESPUMA DE AFEITAR GILLETE FOAMY REG 311 GR	151
GEL VO5 FLEXIBLE 200 GR	44
GEL PATR ALLEN EFECTO HUMEDO	33
GEL AXE GOLD 170 GR	87
GEL AXE ADRENALINE 170 GR	87
HILO DENTAL COLGATE 2 X 1 X 50	79
HEAD & SHOUDERS ACONDICIONADOR X 400	166
HEAD & SHOUDERS SHAMPOO X 400	166
JABON  PARTY GLICERINA X 90 GR 	14
JABON  PLUSBELLE X 140 GR	22
JABON REXONA X 125 GR	19
JABON LUX X 125 GR	20
JABON DE TOCADOR LIMOL X 100 GR X 3 UN	24
JABON LIQUIDO DE MANOS  ESPUMA X 150 ML	93
JABON LIQUIDO DE MANOS  X 300 ML	49
JABON  DESINF. PROTEC X 125	29
KOLYNOS CR DENTAL X 90 GR	49
KOLYNOS CR DENTAL X 180  GR	92
KOLYNOS X 70 GR	39
JABON ANTIBACTERIAL LIFEBUOY X 225 	
MAQUINA PRESTOBARBA  3 FIL X 2 UN	
MAQUINA BIC HYB ADVASNCE	
MAQUINA BIC SOLEIL SEN 	
MAQUINA PRESTOBARBA 3 FIL MUJER X 2 UN	
MAQUINA BIC 3 ACQUA  	
MAQUINA PRESTOBARBA ULTRAGRIP 	
MAQUINA PRESTOBARBA ULTRAGRIP 3	
MAQUINA PRESTOBARBA 3 FILOS 	
MAQUINA PRESTOBARBA 3 FILOS MUJER X 2 UN 	128
MAQUINA DE AFEITAR BIC SOLEIL FM	45
PANTENE ACONDICIONADOR X 400	140
PANTENE SHAMPOO X 400	140
PANTENE 3 MINUTOS X 170 SUMMER	128
PANTENE 3 MINUTOS X 170 FUERZA Y RECONSTRUCCION	128
PA�UELOS CON DISE�O ACHIS  CAJA X 75 UN	
PA�UELOS CARILINA POCKET PQTE	
PA�UELOS ELITTE LICENCIA PQTE	
PA�UELOS MINI FANTASIA	
PERFUMES IMITACION HOMBRE O MUJER	
PLUSBELLE ACONDICIONADOR X 1 LT	63
PLUSBELLE SHAMPOO X 1 LT	63
PLUSBELLE KIDS CH X 350 NUDOS	88
SEDAL ACONDICIONADOR X 340 BOTELLA 	99
SEDAL SHAMPOO X 340 BOTELLA	99
SEDAL ACONDICIONADOR DOY PACK X 300	
SEDAL SHAMPOO DOY PACK X 300	
SUAVE KIDS CH X 350 MANZANILLA	104
SUAVE KIDS CH X 350 COCO	104
SUAVE KIDS ACONDICONADOR X 350 MANZAN	104
TALCO EFFICIENT X 200 GR	
TALCO VERITAS PEDICO 120 GR	
TALCO VERITAS HOMBRE X 120 GR	
TALCO VERITAS CELESTE	96
TALCO VERITAS ROSA	96
CORRECTOR DE OJERAS	46
ESMALTES	54
MASCARA PARA PESTA�AS	153
LAPZ LABIAL CON ESPEJITO	90
LAPIZ LABIAL CREMOSO Y MATE	45
LAPICES DELINEADORES CON SACAPUNTAS	40
MASCARA PARA PESTA�AS	153